"sku","name","nb_produits_commandes","nb_produits_factures","nb_produits_rembourses","nb_produits_annules","nb_produits_envoyes","num_commande","date"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030490","2018-06-05 12:09:30"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000030506","2018-06-05 19:11:05"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030507","2018-06-05 20:02:59"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030513","2018-06-06 03:49:36"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030533","2018-06-06 11:40:44"
"1398265","Fauteuil  Bari l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030545","2018-06-06 14:41:40"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030548","2018-06-06 15:06:53"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030581","2018-06-07 10:40:56"
"1509757","SMOOZ-Plaid dublin kilt l Prix exclusivité Web","2.0000","0.0000","0.0000","0.0000","0.0000","000030581","2018-06-07 10:40:56"
"1398301","Chaise en bois Pacific Acacia l Prix exclusivité Web","4.0000","0.0000","0.0000","4.0000","0.0000","000030609","2018-06-07 17:57:45"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030629","2018-06-08 09:22:44"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030646","2018-06-08 17:16:54"
"1470071","Chaise en bois Elba l Prix exclusivité Web","8.0000","8.0000","0.0000","0.0000","8.0000","000030661","2018-06-08 20:05:58"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000030679","2018-06-09 08:52:19"
"1509757","SMOOZ-Plaid dublin kilt l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030682","2018-06-09 10:10:29"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030682","2018-06-09 10:10:29"
"1470071","Chaise en bois Elba l Prix exclusivité Web","3.0000","3.0000","0.0000","0.0000","3.0000","000030716","2018-06-10 06:44:30"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030726","2018-06-10 10:28:08"
"1398216","Chaise pivoine l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000030754","2018-06-10 18:44:40"
"1470176","Fauteuil Scandi l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030760","2018-06-10 21:43:57"
"1471145","Fauteuil Havane l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000030765","2018-06-11 08:08:38"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030777","2018-06-11 14:27:43"
"1470071","Chaise en bois Elba l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000030796","2018-06-11 18:51:11"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030798","2018-06-11 19:38:33"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030803","2018-06-11 20:08:20"
"1296478","Chaise pliante Mats Teck l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030846","2018-06-12 21:22:06"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030881","2018-06-13 20:58:42"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030922","2018-06-14 15:08:29"
"1476099","SMOOZ-Arbre chat cat playing well bambou l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030925","2018-06-14 15:33:43"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000030932","2018-06-14 16:16:07"
