attribute_code;options_code;label_marketing;info
1010_TAI;1010_TAI_4731;d16,5 h22;
1010_TAI;1010_TAI_4732;d21,5 h28;
1010_TAI;1010_TAI_4733;d30 h46;
1010_TAI;1010_TAI_4734;106;
1010_TAI;1010_TAI_4735;113x65;
1010_TAI;1010_TAI_4736;130x80;
1010_TAI;1010_TAI_4737;65x65;
1010_TAI;1010_TAI_4738;70x70;
1010_TAI;1010_TAI_4739;d. 2.70m;
1010_TAI;1010_TAI_4740;d. 2.80m;
1010_TAI;1010_TAI_4741;d37 h34;
1010_TAI;1010_TAI_4742;d30 h49;
1010_TAI;1010_TAI_4743;d39 h70;
1010_TAI;1010_TAI_4744;d32 h29;
1010_TAI;1010_TAI_4745;80x80cm;
1010_TAI;1010_TAI_4746;160x80x75cm;
1010_TAI;1010_TAI_4747;h 80x l 70x p 28 cm;
1010_TAI;1010_TAI_4748;32 x 32 cm;
1010_TAI;1010_TAI_4749;d 55 cm;
1010_TAI;1010_TAI_4750;d 35 cm;
1010_TAI;1010_TAI_4751;d 50 cm;
1010_TAI;1010_TAI_4752;d 35 cm;
1010_TAI;1010_TAI_4753;80x35x35 cm;
1010_TAI;1010_TAI_4754;60 x 30 cm;
1010_TAI;1010_TAI_4755;80 x 35 cm;
1010_TAI;1010_TAI_4756;80 x 35 x 35 cm;
1010_TAI;1010_TAI_4757;99 x 46 x 46 cm;
1010_TAI;1010_TAI_4758;80 x 35 x 35cm;
1010_TAI;1010_TAI_4759;99 x 46 x 46cm;
1010_TAI;1010_TAI_4760;99x46x46 cm;
1010_TAI;1010_TAI_4761;50 x 20,5 cm;
1010_TAI;1010_TAI_4762;d 70 cm;
1010_TAI;1010_TAI_4763;99 x 46 cm;
1010_TAI;1010_TAI_4764;150/200x94;
1010_TAI;1010_TAI_4765;200/300x110;
1010_TAI;1010_TAI_4766;190/260x110;
1010_TAI;1010_TAI_4767;150/220x90;
1010_TAI;1010_TAI_4768;d50 h22;
1010_TAI;1010_TAI_4769;d36 h17;
1010_TAI;1010_TAI_4770;d23 h38;
1010_TAI;1010_TAI_4771;d30 h52;
1010_TAI;1010_TAI_4772;d38 h70;
1010_TAI;1010_TAI_4773;d20 h19;
1010_TAI;1010_TAI_4774;d40 h38;
1010_TAI;1010_TAI_4775;d34 h32;
1010_TAI;1010_TAI_4776;d47 h45;
1010_TAI;1010_TAI_4777;d55 h53;
1010_TAI;1010_TAI_4778;80x80;
1010_TAI;1010_TAI_4779;160x80;
1010_TAI;1010_TAI_4780;180x100/70;
1010_TAI;1010_TAI_4781;220x110;
1010_TAI;1010_TAI_4782;225x100;
1010_TAI;1010_TAI_4783;diametre 72.5cm;
1010_TAI;1010_TAI_4784;diametre 90cm;
1010_TAI;1010_TAI_4785;35x51x45cm;
1010_TAI;1010_TAI_4786;33x84.5x53cm;
1010_TAI;1010_TAI_4787;39.5x86x68cm;
1010_TAI;1010_TAI_4650;10;
1010_TAI;1010_TAI_4657;4mm;
1010_TAI;1010_TAI_4658;50x50 cm;
1010_TAI;1010_TAI_4659;23x15 h8,5cm;
1010_TAI;1010_TAI_4660;31,5x22 h11cm;
1010_TAI;1010_TAI_4661;24 h7,5cm;
1010_TAI;1010_TAI_4662;31 h9cm;
1010_TAI;1010_TAI_4663;32x21,5 h10cm;
1010_TAI;1010_TAI_4664;23x15 h8cm;
1010_TAI;1010_TAI_4665;100x180;
1010_TAI;1010_TAI_4666;14.5cm;
1010_TAI;1010_TAI_4667;19.5cm;
1010_TAI;1010_TAI_4668;24.8cm;
1010_TAI;1010_TAI_4669;14x50cm;
1010_TAI;1010_TAI_4670;30x18x20;
1010_TAI;1010_TAI_4671;25.5x23x23;
1010_TAI;1010_TAI_4672;19h19cm;
1010_TAI;1010_TAI_4673;38h38cm;
1010_TAI;1010_TAI_4674;14h14cm;
1010_TAI;1010_TAI_4675;45h45cm;
1010_TAI;1010_TAI_4676;110x53h215;
1010_TAI;1010_TAI_4677;92x35h192;
1010_TAI;1010_TAI_4678;200x150h220;
1010_TAI;1010_TAI_4679;d300cm;
1010_TAI;1010_TAI_4680;d30 h20;
1010_TAI;1010_TAI_4681;d20 h28 ;
1010_TAI;1010_TAI_4682;d26 h24;
1010_TAI;1010_TAI_4683;d12  ;
1010_TAI;1010_TAI_4684;d17 ;
1010_TAI;1010_TAI_4685;d23 ;
1010_TAI;1010_TAI_4686;d41;
1010_TAI;1010_TAI_4687;d24 h19;
1010_TAI;1010_TAI_4688;d41 h28;
1010_TAI;1010_TAI_4689;d50 h35;
1010_TAI;1010_TAI_4690;d43 h46 ;
1010_TAI;1010_TAI_4691;d52 h50;
1010_TAI;1010_TAI_4692;d43 h41;
1010_TAI;1010_TAI_4693;d35 h33;
1010_TAI;1010_TAI_4694;d30 h27;
1006_POI;1006_POI_281;14kg + 2.5kg gratuit;
1902_TAIPA;1902_TAIPA_30;grand modèle;
1901_CONPA;1901_CONPA_35;godet de 8 cm;
1006_POI;1006_POI_279;2kg - 25% gratuit;
1006_POI;1006_POI_280;5kg - 25% gratuit;
1010_TAI;1010_TAI_4656;Diamètre 13 hauteur 11,2 cm;
1010_TAI;1010_TAI_4655;Diamètre 15 hauteur 13,4 cm;
1010_TAI;1010_TAI_4695;d23 h23;
1010_TAI;1010_TAI_4696;d29 h29;
1010_TAI;1010_TAI_4697;13x30 h12;
1010_TAI;1010_TAI_4698;d28 h45;
1010_TAI;1010_TAI_4699;d41 h17;
1010_TAI;1010_TAI_4700;d63 h94;
1010_TAI;1010_TAI_4701;d65 h94;
1010_TAI;1010_TAI_4702;d35 h97;
1010_TAI;1010_TAI_4703;d24 h61;
1010_TAI;1010_TAI_4704;d22 h48;
1010_TAI;1010_TAI_4705;d35 h62;
1010_TAI;1010_TAI_4706;d52 h92;
1010_TAI;1010_TAI_4707;d42 h69;
1010_TAI;1010_TAI_4708;d18 h22;
1010_TAI;1010_TAI_4709;d21 h17;
1010_TAI;1010_TAI_4710;d27 h21;
1010_TAI;1010_TAI_4711;d27 h26;
1010_TAI;1010_TAI_4712;d17 h14;
1010_TAI;1010_TAI_4713;d31 h25;
1010_TAI;1010_TAI_4714;d28 h23;
1010_TAI;1010_TAI_4715;d40 h47;
1010_TAI;1010_TAI_4716;d28 h30;
1010_TAI;1010_TAI_4717;d11 h60;
1010_TAI;1010_TAI_4718;d15 h51;
1010_TAI;1010_TAI_4719;d15 h13;
1010_TAI;1010_TAI_4720;d10 h56;
1010_TAI;1010_TAI_4721;d25 h34;
1010_TAI;1010_TAI_4722;29x8,5 h19,5cm;
1010_TAI;1010_TAI_4723;39,5x10,5 h24cm;
1010_TAI;1010_TAI_4724;d20 h13;
1010_TAI;1010_TAI_4725;d30 h26;
1010_TAI;1010_TAI_4726;19x19 h40;
1009_SAV;1009_SAV_426;mure cassis;
1007_PUI;1007_PUI_257;9700l/h;
1007_PUI;1007_PUI_258;5100l/h;
1007_PUI;1007_PUI_259;2700l/h;
1006_POI;1006_POI_276;2kg thon - 25%;
1006_POI;1006_POI_277;2kg poulet - 25%;
1006_POI;1006_POI_278;5kg poulet - 25%;
1005_PAR;1005_PAR_325;anise;
1005_PAR;1005_PAR_326;banane bonbon;
1005_PAR;1005_PAR_327;guimauve;
1005_PAR;1005_PAR_328;basilic tropical;
1005_PAR;1005_PAR_329;verveine exotique;
1005_PAR;1005_PAR_330;euca radiata;
1005_PAR;1005_PAR_331;tea tree;
1005_PAR;1005_PAR_332;cannelle feuille;
1005_PAR;1005_PAR_333;lavande aspic;
1005_PAR;1005_PAR_334;palmarosa;
1005_PAR;1005_PAR_335;gaultherie;
1005_PAR;1005_PAR_336;niaouli;
1005_PAR;1005_PAR_337;clou girofle;
1005_PAR;1005_PAR_338;fleur de vanille;
1005_PAR;1005_PAR_339;poivre patchouli;
1005_PAR;1005_PAR_340;cedre argan;
1005_PAR;1005_PAR_341;santal karite;
1005_PAR;1005_PAR_342;brin de lavande;
1005_PAR;1005_PAR_344;EAU VIVE;
1003_LIT;1003_LIT_244;0.90l;
1003_LIT;1003_LIT_245;1.8l;
1003_LIT;1003_LIT_246;1.3l;
1002_COU;1002_COU_1129;2 anthracite / 1 fushia;
1002_COU;1002_COU_1130;2 anthracite/1 v.anis;
1003_LIT;1003_LIT_243;0,45 litre;
1002_COU;1002_COU_1132;2 anthracite/1 aubergine;
1002_COU;1002_COU_1133;argent blanc;
1002_COU;1002_COU_1134;argent gris;
1002_COU;1002_COU_1135;argent/noir;
1002_COU;1002_COU_1136;argent/manganese;
1002_COU;1002_COU_1137;bl/gris;
1002_COU;1002_COU_1138;blanc poudre;
1002_COU;1002_COU_1139;bois grise;
1002_COU;1002_COU_1140;bois blanchi;
1002_COU;1002_COU_1141;blanc poudre;
